2018-08-07,0.0189
2018-08-08,0.0000
2018-08-09,0.0000
2018-08-10,0.0189
2018-08-11,0.0377
2018-08-12,0.0189
2018-08-13,0.0189
2018-08-14,0.0377
2018-08-15,0.0755
2018-08-16,0.0189
2018-08-17,0.0377
2018-08-18,0.0189
2018-08-19,0.0377
2018-08-20,0.0189
2018-08-21,0.0189
2018-08-22,0.0000
2018-08-23,0.0377
2018-08-24,0.0755
2018-08-25,0.0377
2018-08-26,0.0000
2018-08-27,0.0755
2018-08-28,0.0755
2018-08-29,0.0189
2018-08-30,0.0755
2018-08-31,0.0566
2018-09-01,0.0755
2018-09-02,0.0377
2018-09-03,0.0000
2018-09-04,0.0377
2018-09-05,0.0189
2018-09-06,0.0755
2018-09-07,0.0377
2018-09-08,0.1132
2018-09-09,0.0566
2018-09-10,0.0755
2018-09-11,0.0943
2018-09-12,0.0566
2018-09-13,0.0566
2018-09-14,0.0566
2018-09-15,0.1132
2018-09-16,0.1698
2018-09-17,0.0755
2018-09-18,0.0377
2018-09-19,0.1509
2018-09-20,0.1132
2018-09-21,0.1509
2018-09-22,0.0755
2018-09-23,0.0943
2018-09-24,0.1887
2018-09-25,0.1698
2018-09-26,0.2264
2018-09-27,0.2642
2018-09-28,0.2075
2018-09-29,0.2453
2018-09-30,0.2264
